Country,Comment,URL,Year,NumAuth,Agency,ReportSeries,Branch,Title,FirstAuthor,AllAuthors,Citation
USA,,,2011,2,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Woods, G. F. and N. L. Zeiser. 2011. Annual Management Report of the 2010 Yakutat Area commercial salmon fisheries. Alaska Department of Fish and Game, Fishery Management Report No. 11-51, Anchorage."
USA,,,2011,2,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Woods, G. F. and N. L. Zeiser. 2011. Annual management report of the 2009 Yakutat Area commercial salmon fisheries. Alaska Department of Fish and Game, Fishery Management Report No. 11-03, Anchorage."
USA,,,2011,3,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Trowbridge, C. E., E. Russ, and C. Russ. 2011. Annual management report for Pacific cod fisheries in the Prince William Sound and Cook Inlet Management Areas, 2010. Alaska Department of Fish and Game, Fishery Management Report No. 11-47, Anchorage."
USA,,,2011,3,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Stichert, M. A., K. Phillips, and P. Converse. 2011. Annual management report for groundfish fisheries in the Kodiak, Chignik, and South Alaska Peninsula Management Areas, 2010. Alaska Department of Fish and Game, Fishery Management Report No.11-44, Anchorage."
USA,,,2011,1,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Spalinger, G. 2011. Kodiak management area herring fisheries annual management report, 2009. Alaska Department of Fish and Game, Fishery Management Report No. 11-16, Anchorage."
USA,,,2011,1,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Spalinger G. 2011. Kodiak management area herring fisheries annual management report, 2010. Alaska Department of Fish and Game, Fishery Management Report No. 11-75, Anchorage. "
USA,,,2011,3,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Skannes, P., G. Hagerman and L. Shaul. 2011. Annual management report for the 2010 Southeast Alaska/Yakutat salmon troll fisheries. Alaska Department of Fish and Game, Fishery Management Report No. 11-10 Anchorage."
USA,,,2011,2,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Skannes, P. and G. Hagerman. 2011. Summary of spring troll fisheries in Southeast Alaska, 1999–2010. Alaska Department of Fish and Game, Fishery Management Report No. 11-53, Anchorage."
USA,,,2011,8,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Salomone, P., S. Morstad, T. Sands, M. Jones, T. Baker, G. Buck, F. West, and T. Kreig. 2011. 2010 Bristol Bay area annual management report. Alaska Department of Fish and Game, Fishery Management Report No. 11-23, Anchorage."
USA,,,2011,2,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Sagalkin, N. H., and K. Spalinger. 2011. 2011. Annual management report for shellfish fisheries in the Kodiak, Chignik, and Alaska Peninsula Areas, 2010. Alaska Department of Fish and Game, Fishery Management Report No. 11-43, Anchorage."
USA,,,2011,3,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Poetter, A. D., M. D. Keyse and A. C. Bernard. 2011. South Alaska Peninsula salmon annual management report, 2010. Alaska Department of Fish and Game, Fishery Management Report No. 11-33 Anchorage."
USA,,,2011,2,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Poetter, A. D. and M. Keyse. 2011. Aleutian Islands and Atka-Amlia Islands management areas salmon annual management report, 2010. Alaska Department of Fish and Game, Fishery Management Report No. 11-35 Anchorage."
USA,,,2011,1,ADFG,Regional Information Report,Commercial Fisheries,,,,"Musslewhite, J. 2011. An evaluation of the Kitoi Bay salmon hatchery for consistency with statewide policies and prescribed management practices. Alaska Department of Fish and Game, Division of Commercial Fisheries, Regional Information Report 5J11-01, Juneau."
USA,,,2011,1,ADFG,Regional Information Report,Commercial Fisheries,,,,"Musslewhite, J. 2011. An evaluation of the Pillar Creek salmon hatchery for consistency with statewide policies and prescribed management practices. Alaska Department of Fish and Game, Division of Commercial Fisheries, Regional Information Report 5J11-02, Juneau."
USA,,,2011,3,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Menard, J., J. Soong, and S. Kent. 2011. 2009 Annual Management Report Norton Sound, Port Clarence, and Kotzebue. Alaska Department of Fish & Game, Fishery Management Report, No. 11-46, Anchorage."
USA,,,2011,9,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Hayes S. J., F. Bue, E. Newland, W. H. Busher, K. Clark, D. F. Evenson, B. M. Borba, M. Horne-Brine. and D. Bergstrom. 2011. Annual management report Yukon and Northern Areas 2005. Alaska Department of Fish and Game, Fishery Management Report No. 11-36, Anchorage. "
USA,,,2011,2,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Hartill, T. G., and R. L. Murphy. 2011. North Alaska Peninsula commercial salmon annual management report, 2010. Alaska Department of Fish and Game, Fishery Management Report 11-07, Anchorage."
USA,,,2011,1,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Hartill, T. 2011. Annual management report for the Bering Sea-Aleutian Islands Area state-waters groundfish fisheries and groundfish harvest from parallel seasons in 2010. Alaska Department of Fish and Game, Fishery Management Report No. 11-66, Anchorage."
USA,,,2011,2,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Hammarstrom, L. F. and E. G. Ford. 2011. 2010 Lower Cook Inlet annual finfish management report. Alaska Department of Fish and Game, Fishery Management Report No. 11-26 Anchorage."
USA,,,2011,1,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Fitch, H. 2011. Annual management report for the Bering Sea-Aleutian Islands Area state-waters groundfish fisheries and groundfish harvest from parallel seasons in 2009. Alaska Department of Fish and Game, Fishery Management Report No. 11-28, Anchorage."
USA,,,2011,8,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Davidson, W., R. Bachman, D. Gordon, S. Heinl, K. Jensen, K. Monagle, T. Thynes and S. Walker. 2011. Annual management report of the 2009 Southeast Alaska commercial purse seine and drift gillnet fisheries. Alaska Department of Fish and Game, Fishery Management Report No 11-09, Anchorage."
USA,,,2011,8,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Davidson, W., R. Bachman, D. Gordon, A. Piston, K. Jensen, K. Monagle, T. Thynes and S. Walker. 2011. Annual management report of the 2010 Southeast Alaska commercial purse seine and drift gillnet fisheries. Alaska Department of Fish and Game, Fishery Management Report No 11-27, Anchorage."
USA,,,2011,5,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Davidson, B., D. Gordon, K. Monagle, T. Thynes and S. Walker. 2011. 2010 Southeast Alaska commercial herring fishery Annual Management Report. Alaska Department of Fish and Game, Fishery Management Report No. 11-41, Anchorage."
USA,,,2011,8,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Bue, F., S. J. Hayes, E. Newland, D. F. Evenson, K. Clark, B. M. Borba, W. H. Busher and M. Horne-Brine. 2011. Annual management report for the Yukon and Northern Areas, 2006. Alaska Department of Fish and Game, Fishery Management Report No. 11-29 Anchorage."
USA,,,2011,4,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Brazil, C., D. Bue, H. Carroll, and T. Elison. 2011. 2010 Kuskokwim area management report. Alaska Department of Fish and Game, Fishery Management Report No. 11-67, Anchorage."
USA,,,2011,8,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Bowers, F. R., M. Schwenzfeier, K. Herring, M. Salmon, J. Shaishnikoff, H. Fitch, J. Alas and B. Baechler. 2011. Annual management report for the commercial and subsistence shellfish fisheries of the Aleutian Islands, Bering Sea and the Westward Region’s shellfish observer program, 2009/10. Alaska Department of Fish and Game, Fishery Management Report No. 11-05, Anchorage. "
USA,,,2011,1,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Bernard, A. C. 2011. Alaska Peninsula-Aleutian Islands Management Area herring sac roe and food and bait fisheries annual management report, 2010. Alaska Department of Fish and Game, Fishery Management Report No. 11-06, Anchorage."
USA,,,2011,1,ADFG,Fishery Management Report,Commercial Fisheries,,,,"Anderson, T. J. 2011. Chignik Management Area salmon and herring annual management report, 2009. Alaska Department of Fish and Game, Fishery Management Report No. 11-31 Anchorage."
USA,,,2011,6,ADFG,Subsistence Technical Paper,Subsistence Fisheries,,,,"William E. Simeone, Liliana C. Naves, Marie E. Lowe, Gloria Stickwan, Erica McCall Valentine, James Brady . 2011. Cultural models of Copper River salmon fisheries. ADF&G Division of Subsistence, Techncial Paper No. 351."
USA,,,2011,8,ADFG,Subsistence Technical Paper,Subsistence Fisheries,,,,"Nicole M. Braem, Sverre Pedersen, Jim Simon, David Koster, Tina Kaleak, Price Leavitt, James Patkotak, and Patsy Neakok. 2011. Monitoring of annual caribou harvests in the National Petroleum Reserve in Alaska: Atqasuk, Barrow, and Nuiqsut, 2003–2007. ADF&G Division of Subsistence, Techncial Paper No. 361."
USA,,,2011,2,ADFG,Subsistence Technical Paper,Subsistence Fisheries,,,,"Michael Koskey, Kristin Mull. 2011. Traditional ecological knowledge and biological sampling of nonsalmon fish species in the Yukon Flats region, Alaska. ADF&G Division of Subsistence, Techncial Paper No. 362."
USA,,,2011,1,ADFG,Subsistence Technical Paper,Subsistence Fisheries,,,,"Liliana C. Naves. 2011. Alaska migratory bird subsistence harvest estimates, 2009, Alaska migratory bird co-management council. ADF&G Division of Subsistence, Techncial Paper No. 364."
USA,,,2011,5,ADFG,Subsistence Technical Paper,Subsistence Fisheries,,,,"James S. Magdanz, Hazel Smith, Nicole Braem, Patricia Fox, David S. Koster. 2011. Patterns and Trends in Subsistence Fish Harvests, Northwest Alaska, 1994–2004. ADF&G Division of Subsistence, Techncial Paper No. 366. "
USA,,,2011,4,ADFG,Subsistence Technical Paper,Subsistence Fisheries,,,,"James S. Magdanz, David S. Koster, Liliana Naves, Patricia Fox. 2011. Subsistence Harvests in Northwest Alaska, Buckland and Kiana, 2003 and 2006. ADF&G Division of Subsistence, Techncial Paper No. 363."
USA,,,2011,10,ADFG,Subsistence Technical Paper,Subsistence Fisheries,,,,"James A. Fall, Caroline Brown, Nicole Braem, James J. Simon, William E. Simeone, Davin L. Holen, Liliana Naves, Lisa Hutchinson-Scarbrough, Terri Lemons, and Theodore M. Krieg. 2011. Alaska subsistence salmon fisheries 2008 annual report. ADF&G Division of Subsistence, Techncial Paper No. 359."
USA,,,2011,2,ADFG,Subsistence Technical Paper,Subsistence Fisheries,,,,"James A. Fall and David Koster. 2011. Subsistence harvests of Pacific halibut in Alaska, 2009. ADF&G Division of Subsistence, Techncial Paper No. 357."
USA,,,2011,3,ADFG,Subsistence Technical Paper,Subsistence Fisheries,,,,"Davin Holen, Theodore M. Krieg, Terri Lemons. 2011. Subsistence harvests and uses of wild resources in King Salmon, Naknek, and South Naknek, Alaska, 2007. ADF&G Division of Subsistence, Techncial Paper No. 360."
USA,,,2011,5,ADFG,Subsistence Technical Paper,Subsistence Fisheries,,,,"Davin Holen, Jory Stariwat, Terri Lemons, Victoria Ciccone, and Michael F. Turek. 2011. The subsistence harvest of herring spawn in Sitka, Alaska 2002–2010. ADF&G Division of Subsistence, Techncial Paper No. 343."
USA,,,2011,UFO,ADFG,Subsistence Technical Paper,Subsistence Fisheries,,,,"Alaska Department of Fish and Game Division of Subsistence. 2011. Proposed changes to nonsubsistence areas. ADF&G Division of Subsistence, Techncial Paper No. 336."
USA,,,2011,1,ADFG,Special Publication,Subsistence Fisheries,,,,"Nicole M. Braem. 2011. Subsistence wildlife harvests in Deering, Alaska, 2007–2008. Alaska Department of Fish and Game Division of Subsistence, Special Publication No. -002."
USA,,,2011,2,ADFG,Special Publication,Subsistence Fisheries,,,,"Davin Holen; James A. Fall. 2011. Overview of subsistence salmon fisheries in the Tyonek Subdistrict and Yentna River, Cook Inlet, Alaska. Alaska Department of Fish and Game Division of Subsistence, Special Publication No. -001."
